original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,bert,blob,bert_related,blob_related
klimafreundin,freundin,"['freundin', 'freundinnen']",freundin,f,"['klimafreundin', 'klimafreundinnen']","['Freundin', 'Ische', 'Herzdame', 'gute Freundin', 'Liebhaberin', 'Frau seines Herzens', 'Partnerin', 'enge Freundin', 'Lebensgefährtin', 'Frau an seiner Seite', 'Flamme', 'Gespielin', 'Liebste', 'Geliebte', 'Alte', 'beste Freundin', 'Auserwählte', 'Lebensabschnittsgefährtin', 'feste Beziehung', 'Mätresse', 'Lebenspartnerin', 'Kurtisane', 'Beziehung', 'Vertraute', 'seine Angebetete', 'Bettgenossin', 'Dame seines Herzens', 'Hetäre', 'Herzensdame']","['Kamerad', 'Kampfgenosse', 'Waffenbruder']","['jemand', 'irgendjemand', 'jeder beliebige']","['kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'female', 'female person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'female', 'female person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'lover', 'spouse equivalent', 'spousal equivalent', 'domestic partner', 'significant other', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'lover', 'spouse equivalent', 'spousal equivalent', 'domestic partner', 'significant other', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Frau, die mit einem wichtigen Mann zusammenlebt', 'eine Partnerin, mit der man sein Leben teilt, mit der man aber nicht verheiratet ist', 'jede weibliche Freundin']",[],[],freundi,freundin,freundin,freundin,,,,,"['freundin', 'freund']","['freundin', 'freund']",positive,0.0,positive,0.04482758620689655
klimafreundlichkeit,freundlichkeit,"['freundlichkeiten', 'freundlichkeit']",freundlichkeit,f,"['klimafreundlichkeiten', 'klimafreundlichkeit']","['Verbindlichkeit', 'Milde', 'Liebenswürdigkeit', 'Höflichkeit', 'Aufmerksamkeit', 'Indulgenz', 'Wertschätzung', 'Entgegenkommen', 'Anteilnahme', 'Herzlichkeit', 'Umgänglichkeit', 'Güte', 'Kompliment', 'Gewogenheit', 'Wohlwollen', 'nette Worte', 'Zugewandtheit', 'freundliche Worte', 'Konzilianz', 'Herzensgüte', 'anerkennende Äußerung', 'Interesse', 'Gefälligkeit', 'Zuvorkommenheit', 'Mildtätigkeit', 'Courtoisie', 'Nettigkeit', 'Leutseligkeit', 'Gütigkeit', 'Warmherzigkeit', 'Freundlichkeit', 'Wärme']","['Operation', 'Wissensdurst', 'Entdeckerfreude', 'beachten', 'Handlung', 'Neugier', 'Integrität', 'bemerken', 'Behagen', 'Aktion', 'Unversehrtheit', 'Wissbegierde', 'wohliges Gefühl der Zufriedenheit', 'Tat', 'Neugierde', 'Unbescholtenheit', 'anmerken', 'stilles Vergnügen']","['Behagen', 'stilles Vergnügen', 'wohliges Gefühl der Zufriedenheit', 'Personalien', 'Ausweis', 'Lichtbildausweis', 'Ausweispapiere', 'Identifikationskarte', 'Papiere', 'Handlung', 'Operation', 'Aktion', 'Tat', 'Geistesverfassung', 'Geisteszustand', 'Integrität', 'Unbescholtenheit', 'Unversehrtheit']","['action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['eine freundliche Handlung', 'Freundlichkeit, die sich in einer freundlichen und hilfsbereiten Haltung zeigt', 'die Neigung, freundlich und nachsichtig zu sein', 'die Eigenschaft der herzlichen Aufrichtigkeit', 'ein Ausdruck der Dankbarkeit', 'ein freundliches Gemüt']",[],[],freundlichkei,freundlichkeit,freundlichkeit,freundlich,,,,,,[],positive,0.0,positive,0.084375
klimafront,front,"['fronten', 'front']",front,f,"['klimafronten', 'klimafront']","['Feld', 'Kriegsschauplatz', 'Fassade', 'Feld der Ehre', 'Frontpartie', 'Gefechtsfeld', 'Kampfzone', 'Kampfgebiet', 'Schauseite', 'Vorderseite', 'Exterieur', 'Vorderansicht', 'Vorderteil', 'Schlachtfeld', 'Frontansicht', 'Kampfplatz', 'Kriegsgebiet', 'Linie', 'Front', 'Schnauze', 'Frontlinie']","['daherreden', 'sabbeln', 'Sichtweise', 'Blickrichtung', 'sich auslassen', 'schwatzen', 'Blickwinkel', 'daherplappern', 'herumlabern', 'schwafeln', 'groß herumtönen', 'plappern', 'quasseln', 'sich ergehen', 'Aspekt', 'schwätzen', 'Anschauungsweise', 'schwadronieren', 'salbadern', 'Ansicht', 'sich verbreiten', 'Perspektive', 'faseln', 'Standpunkt', 'Sichtfeld', 'Sicht']","['Aspekt', 'Sichtweise', 'Ansicht', 'Blickwinkel', 'Standpunkt', 'Perspektive', 'Sichtfeld', 'Blickrichtung', 'Anschauungsweise', 'Sicht', 'sich ergehen', 'sich verbreiten', 'sabbeln', 'quasseln', 'groß herumtönen', 'herumlabern', 'daherreden', 'sich auslassen', 'daherplappern', 'schwatzen', 'schwafeln', 'plappern', 'schwadronieren', 'schwätzen', 'salbadern', 'faseln']","['region', 'location', 'physical object', 'object', 'physical entity', 'entity']",person,"['ein Gebiet, in dem aktive militärische Operationen durchgeführt werden', 'die Stirnseite oder Vorderseite eines Gebäudes', 'eine Gruppe von Menschen mit einer gemeinsamen Ideologie, die gemeinsam versuchen, bestimmte allgemeine Ziele zu erreichen']",[],[],fro,front,front,front,,,,,,[],positive,0.0,negative,0.0
klimaführerin,führerin,"['führerin', 'führerinnen']",führerin,f,"['klimaführerin', 'klimaführerinnen']",[],[],[],,,[],[],[],fuhreri,führerin,führerin,fuhrerin,,,,,,[],negative,0.0,negative,0.0
klimagangster,gangster,"['gangstern', 'gangsters', 'gangster']",gangster,m,"['klimagangstern', 'klimagangsters', 'klimagangster']","['Verbrecher', 'Ganove', 'Gangster', 'Halunke', 'Gauner', 'Bandit', 'Galgenstrick', 'Galgenvogel']","['Verbrecher', 'Schächer', 'Straftäter', 'schwerer Junge', 'Gesetzesbrecher', 'Krimineller', 'Täter', 'kriminelles Element']","['Verbrecher', 'Straftäter', 'Täter', 'schwerer Junge', 'Schächer', 'Krimineller', 'Gesetzesbrecher', 'kriminelles Element']","['crook', 'malefactor', 'felon', 'outlaw', 'criminal', 'principal', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'crook', 'malefactor', 'felon', 'outlaw', 'criminal', 'principal', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['ein Krimineller, der Mitglied einer Bande ist']",['verbrecher'],['verbrecher'],gang,gangster,gangst,gang,,,,,,['verbrecher'],negative,0.0,negative,0.0
klimagarde,garde,"['garde', 'garden']",garde,f,"['klimagarde', 'klimagarden']",[],[],[],,,[],[],[],gard,gard,gard,gard,,,,,,[],positive,0.0,positive,0.0
klimagau,gau,"['gau', 'gaus', 'gauen', 'gaues', 'gaue']",gau,m,"['klimagau', 'klimagaus', 'klimagauen', 'klimagaues', 'klimagaue']","['Auslegungsstörfall', 'Gau', 'Komitat', 'Fiasko', 'Katastrophe', 'GAU', 'Gespanschaft', 'Debakel', 'Desaster', 'Unfall mit katastrophalen Folgen']","['Härte', 'Rauheit']","['Unglück', 'Verhängnis', 'Unheil', 'Fluch', 'Geißel', 'Unstern', 'Unsegen']","['defeat', 'licking', 'finish', 'conclusion', 'ending', 'occurrence', 'occurrent', 'natural event', 'happening', 'event', 'abstraction', 'abstract entity', 'entity', 'defeat', 'licking', 'failure', 'occurrence', 'occurrent', 'natural event', 'happening', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['eine solide Niederlage', None, None]",[],[],gau,gau,gau,gau,,,,,,[],negative,0.0,negative,-0.1
klimagefahr,gefahr,"['gefahren', 'gefahr']",gefahr,f,"['klimagefahren', 'klimagefahr']","['Misserfolgswahrscheinlickeit', 'Bedrohung', 'drohendes Unheil', 'Risiko', 'Unsicherheit', 'Gefahr', 'Fährde', 'Stolperfalle', 'potentielle Schadeinwirkung', 'Gefährdung', 'Fährnis']",[],[],"['danger', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['etwas, das eine Quelle der Gefahr ist']",[],[],fahr,gefahr,gefahr,gefahr,,,,,,[],positive,0.0,negative,0.0
klimagefasel,gefasel,"['gefasels', 'gefasel']",gefasel,n,"['klimagefasels', 'klimagefasel']","['Bullshit', 'Quatsch', 'Heckmeck', 'Blödsinn', 'Schmarren', 'Gelaber', 'leere Worte', 'Kohl', 'Geschwalle', 'Luftblasen', 'Quark', 'leeres Gerede', 'Schmonzes', 'Krampf', 'Käse', 'Schmu', 'Quatsch mit Soße', 'Blech', 'Mumpitz', 'Sottise', 'Stuss', 'Geblubber', 'langweilige Rede', 'geistiger Dünnschiss', 'Scheiße', 'Unfug', 'warme Worte', 'Geschwätz', 'Schmarrn', 'hohle Phrasen', 'Pipifax', 'Gefasel', 'Kokolores', 'dümmliches Gerede', 'Nonsense', 'Kappes', 'Nonsens', 'geistiger Durchfall', 'Schein-Tiefsinn', 'Geschwafel', 'Schmus', 'Schwachsinn', 'Schwachfug', 'gequirlte Scheiße', 'Kiki', 'Sermon', 'Schmäh', 'Gewäsch', 'Driss', 'Firlefanz', 'Widersinn', 'Geplänkel', 'Humbug', 'Tinnef', 'Bockmist', 'Fez', 'dummes Zeug', 'saudummes Zeug', 'Pillepalle', 'Mist', 'Scheiß', 'Geseire', 'Papperlapapp', 'Blabla', 'Unsinn', 'Gerede', 'Geschwurbel', 'Gemunkel']","['Tiefe', 'Gelaber', 'leere Worte', 'Geschwalle', 'Luftblasen', 'leeres Gerede', 'Geblubber', 'langweilige Rede', 'Geschwätz', 'warme Worte', 'hohle Phrasen', 'Gefasel', 'Tiefsinn', 'Schein-Tiefsinn', 'Geschwafel', 'Schmus', 'Sermon', 'Gewäsch', 'Geplänkel', 'dummes Zeug', 'Geseire', 'Blabla', 'Gerede', 'Geschwurbel', 'Gemunkel']","['Tiefe', 'Tiefsinn', 'Tiefe', 'Tiefsinn']","['gibber', 'gibberish', 'bunk', 'nonsense', 'meaninglessness', 'nonsensicality', 'hokum', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['törichtes Kauderwelsch', 'unsinniges Gerede oder Schreiben']",[],"['blödsinn', 'käse', 'quatsch', 'unfug', 'unsinn']",fasel,gefasel,gefasel,gefasel,,,,,,"['blödsinn', 'käse', 'quatsch', 'unfug', 'unsinn']",positive,0.0,negative,-0.07352941176470588
klimagerechtigkeit,gerechtigkeit,"['gerechtigkeiten', 'gerechtigkeit']",gerechtigkeit,f,"['klimagerechtigkeiten', 'klimagerechtigkeit']","['Recht', 'Gerechtigkeit']",[],[],"['natural virtue', 'cardinal virtue', 'virtue', 'good', 'goodness', 'morality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity', 'righteousness', 'morality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,['gerecht oder fair zu sein'],[],[],rechtigkei,gerechtigkeit,gerechtigkeit,gerecht,,,,,"['gerechtigkeit', 'ungerechtigkeit']","['gerechtigkeit', 'ungerechtigkeit']",positive,0.0,positive,0.5
klimageschrei,geschrei,"['geschreis', 'geschrei']",geschrei,n,"['klimageschreis', 'klimageschrei']","['Geschrei', 'Gegröl', 'Krakeel', 'Schreierei', 'Gebrüll', 'Lärmerei', 'Gejohle', 'Gelärme', 'Gegröle', 'Grölerei', 'Gelärm', 'Brüllerei', 'Gejohl']","['Ruf', 'Schrei', 'Ausruf', 'Exclamatio']","['Äußerung', 'Vorbringen']","['noise', 'sound', 'occurrence', 'occurrent', 'natural event', 'happening', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['ein lautes, raues oder schrilles Geräusch']",[],[],schrei,geschrei,geschre,geschrei,,,,,"['geschrei', 'aufschrei']","['geschrei', 'aufschrei']",negative,0.0,negative,0.0
klimageschäft,geschäft,"['geschäften', 'geschäft', 'geschäftes', 'geschäfte', 'geschäfts']",geschäft,n,"['klimageschäften', 'klimageschäft', 'klimageschäftes', 'klimageschäfte', 'klimageschäfts']","['Verkaufsstelle', 'Arbeit', 'geschäftliche Aktivitäten', 'Tun', 'Tätigkeit', 'Shop', 'Beschäftigung', 'geschäftliche Tätigkeit', 'Geschäftstätigkeit', 'Laden', 'Handel', 'Handel für', 'Schaffen', 'Geschäftsleben', 'Kaufhaus', 'Deal', 'Geschäft', 'Handlung']","['Versuch', 'Erledigung', 'Auslauf', 'Auslass', 'Unternehmung', 'Bearbeitung', 'Vorsatz']","['Auslass', 'Auslauf', 'Erledigung', 'Bearbeitung', 'Versuch', 'Vorsatz', 'Unternehmung']","['worry', 'vexation', 'concern', 'headache', 'negative stimulus', 'input', 'stimulant', 'stimulation', 'stimulus', 'information', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,"['ein rechtmäßiges Anliegen oder eine Verantwortung', 'das Geschäft, das einem Handelsunternehmen von seinen Kunden übertragen wird', ' ein mehr oder weniger praktisches Tun', 'eine Handelseinrichtung für den Einzelverkauf von Waren oder Dienstleistungen']",[],[],schaf,geschäft,geschäft,geschaft,,,,,,[],positive,0.0,positive,0.0
klimagesinnung,gesinnung,"['gesinnungen', 'gesinnung']",gesinnung,f,"['klimagesinnungen', 'klimagesinnung']","['Charakteranlage', 'Lebenseinstellung', 'wes Sinnes', 'Selbstverständnis', 'Position', 'Mentalität', 'Attitüde', 'Gesinnung', 'Ideologie', 'Grundeinstellung', 'innere Haltung', '(innere) Einstellung', 'Denkungsart', 'Weltanschauung', 'Überzeugung', 'Neigung', 'Veranlagung', 'welchen Sinnes', 'Haltung', 'Weltverständnis', 'Mindset', 'Sinnesart', 'Couleur', 'Geisteshaltung', 'geistiger Standort', 'Weltbild', 'Sicht der Dinge', 'wes Geistes Kind', 'Werte', 'Wertauffassung', 'welches Sinnes', 'Grundhaltung', 'Denke', 'Ethos', 'Auffassung vom Leben', 'Weltsicht', 'ideologischer Standort', 'Weltauffassung', 'Denkweise', 'Stellung', 'Grundüberzeugung', 'Standpunkt', 'Philosophie']","['Anschauung', 'Begriff', 'Anlage', 'Idee', 'Fähigkeit', 'Vorstellung', 'Auffassung', 'Denkweise', 'Begabung', 'Talent', 'Ausdruck', 'Gabe']","['Gabe', 'Anlage', 'Fähigkeit', 'Talent', 'Begabung', 'Idee', 'Auffassung', 'Anschauung', 'Vorstellung', 'Begriff', 'Ausdruck', 'Denkweise']","['human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['die Abweichung von einer vertikalen Position', 'eine umfassende Sicht auf die Welt und das menschliche Leben', 'die Anordnung des Körpers und seiner Gliedmaßen']",[],[],sinnung,gesinnung,gesinnung,gesinn,,,,,,[],neutral,0.0,negative,0.0
klimaglaube,glaube,"['glaubens', 'glauben', 'glaube']",glaube,m,"['klimaglaubens', 'klimaglauben', 'klimaglaube']","['Religion', 'Konfession', 'Glauben', 'Vertrauen', 'Glaubensrichtung', 'religiöse Überzeugung', 'Bekenntnis', 'Zuversicht', 'Glaube', 'Kirche', 'Gewissheit', 'Weltanschauung', 'Denomination']","['Religion', 'Glauben', 'Glaubensrichtung', 'religiöse Überzeugung', 'Glaube', 'Kirche', 'Weltanschauung']","['Glaube', 'Weltanschauung', 'Religion', 'Kirche', 'Glaubensrichtung', 'Glauben', 'religiöse Überzeugung']","['cognitive state', 'state of mind', 'psychological condition', 'psychological state', 'mental state', 'mental condition', 'condition', 'status', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['der Zustand, sicher zu sein', 'eine öffentliche Erklärung des Glaubens', 'eine Einrichtung zum Ausdruck des Glaubens an eine göttliche Macht']",[],[],glaub,glaub,glaub,glaub,,,,,"['glaube', 'gläubigkeit']","['glaube', 'gläubigkeit']",negative,0.0,neutral,0.0
klimaglaubensbekenntnis,glaubensbekenntnis,"['glaubensbekenntnis', 'glaubensbekenntnisses', 'glaubensbekenntnisse', 'glaubensbekenntnissen']",glaubensbekenntnis,n,"['klimaglaubensbekenntnis', 'klimaglaubensbekenntnisses', 'klimaglaubensbekenntnisse', 'klimaglaubensbekenntnissen']","['Kredo', 'Glaubensbekenntnis', 'geglaubter Grundsatz', 'Credo']","['Haltung', 'Auffassung vom Leben', 'Grundeinstellung', 'Einstellung zu', 'Philosophie', 'Mentalität']","['Haltung', 'Grundeinstellung', 'Auffassung vom Leben', 'Philosophie', 'Einstellung zu', 'Mentalität']","['philosophy', 'ism', 'school of thought', 'doctrine', 'philosophical system', 'belief', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,['ein System von Grundsätzen oder Überzeugungen'],[],[],glaubensbekenntni,glaubensbekenntni,glaubensbekenntn,glaubensbekenntnis,,,,,,[],neutral,0.0,positive,0.0
klimaglaubenslehre,glaubenslehre,"['glaubenslehre', 'glaubenslehren']",glaubenslehre,f,"['klimaglaubenslehre', 'klimaglaubenslehren']",[],[],[],,,[],[],[],glaubenslehr,glaubenslehr,glaubenslehr,glaubenslehr,,,,,,[],neutral,0.0,neutral,0.0
klimagläubigkeit,gläubigkeit,['gläubigkeit'],gläubigkeit,f,['klimagläubigkeit'],"['Gläubigkeit', 'Gottesfurcht', 'Frömmigkeit']","['Angst', 'Beklommenheit', 'Beklemmung', 'Flattermann', 'Bedenken', 'Schiss', 'Angstgefühl', 'Fracksausen', 'Bedrohungsgefühl', 'Muffensausen', 'Bammel', 'Befürchtung', 'Manschetten', 'Muffe', 'Scheu', 'Furcht', 'Sorge']","['Befürchtung', 'Beklemmung', 'Scheu', 'Muffensausen', 'Manschetten', 'Schiss', 'Sorge', 'Angst', 'Flattermann', 'Fracksausen', 'Angstgefühl', 'Bedrohungsgefühl', 'Bedenken', 'Beklommenheit', 'Bammel', 'Furcht', 'Muffe']","['piousness', 'piety', 'righteousness', 'morality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,['Frömmigkeit aufgrund von Frömmigkeit'],[],[],glaubigkei,gläubigkeit,gläubigkeit,glaubig,,,,,"['gläubigkeit', 'glaube']","['gläubigkeit', 'glaube']",negative,0.0,negative,0.0
klimagnom,gnom,"['gnoms', 'gnomen', 'gnome', 'gnom']",gnom,,"['klimagnoms', 'klimagnomen', 'klimagnome', 'klimagnom']","['Däumling', 'Winzling', 'Gnom', 'Wichtelmännchen', 'Zwerg', 'Unhold', 'Wicht', 'Troll', 'Heinzelmännchen', 'Wichtel', 'Wichtelmann', 'Kobold']",[],[],"['sprite', 'fay', 'fairy', 'faerie', 'faery', 'spiritual being', 'supernatural being', 'belief', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,"['(Folklore) Feen, die etwas schelmisch sind', 'ein Fischköder, der beim Schleppangeln verwendet wird']",[],[],gnom,gnom,gnom,gnom,,,,,,[],positive,0.0,negative,0.0
klimagott,gott,"['gotts', 'gott', 'gotte', 'gottes', 'göttern', 'götter']",gott,m,"['klimagotts', 'klimagott', 'klimagotte', 'klimagottes', 'klimagöttern', 'klimagötter']","['Gott', 'Allmächtiger', 'Der Ewige', 'Elohim [jüdisch]', 'lieber Gott', 'Herr', 'Jehova [jüdisch]', 'Demiurg [gnostisch]', 'Urschöpfer', 'Gottheit', 'Allah [islamisch]', 'Abraxas [gnostisch]', 'Adonai [jüdisch]', 'Weltenlenker', 'Allvater', 'Schöpfer', 'Herrgott']",[],[],"['image', 'effigy', 'simulacrum', 'representation', 'creation', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,"['ein materielles Bildnis, das verehrt wird', 'Begriffe, die sich auf den jüdisch-christlichen Gott beziehen', 'das übernatürliche Wesen, das als vollkommener, allmächtiger und allwissender Urheber und Herrscher des Universums angesehen wird; Gegenstand der Anbetung in monotheistischen Religionen']",[],[],gott,gott,got,gott,,,,,"['gott', 'göttin']","['gott', 'göttin']",negative,0.0,negative,0.058823529411764705
klimagunst,gunst,['gunst'],gunst,f,['klimagunst'],"['Erbarmen', 'Gunst', 'Mitleid', 'Identifikation', 'Treue', 'Privileg', 'Gnade', 'Geneigtheit', 'Wohlwollen', 'Gewogenheit', 'Huld', 'Zugehörigkeitsgefühl', 'Vergünstigung', 'Zugewandtheit', 'Vorteil', 'Vorzug']","['Gemütsbewegung', 'Affekt', 'Gefühlsbewegung', 'Gefühlswallung', 'Gefühl', 'Empfindung', 'Regung', 'Sentiment', 'Gefühlserregung', 'Gefühlsregung', 'Gefühlsaufwallung', 'Gespür', 'Emotion', 'Stimmungslage']","['Bewusstsein', 'Besinnung', 'Wachzustand', 'Ausschnitt', 'Bereich', 'Stück', 'Abschnitt', 'Fragment', 'Fetzen', 'Teil', 'Bruchstück', 'Stückchen', 'Segment', 'Teilbereich', 'Unvollendetes', 'Schub', 'Insult', 'Anfall']","['blessing', 'boon', 'good luck', 'good fortune', 'luckiness', 'lot', 'portion', 'luck', 'fortune', 'fate', 'destiny', 'circumstances', 'condition', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['etwas, wofür man dankbar sein kann', 'eine Neigung zu freundlichen oder wohltätigen Handlungen', 'Empfinden, treu zu sein', 'ein leichter Wettbewerbsvorteil']",[],[],gun,gunst,gunst,gunst,,,,,,[],positive,0.0,positive,0.0625
klimagöttin,göttin,"['göttinnen', 'göttin']",göttin,f,"['klimagöttinnen', 'klimagöttin']",[],[],[],,,[],[],[],gotti,göttin,göttin,gottin,,,,,"['göttin', 'gott']","['göttin', 'gott']",positive,0.0,positive,0.0
klimahardliner,hardliner,"['hardliner', 'hardlinern', 'hardliners']",hardliner,m,"['klimahardliner', 'klimahardlinern', 'klimahardliners']","['Hardliner', 'Falke', 'Vertreter eines harten Kurses']","['CDU', 'Christlich Demokratische Union', 'die Schwarzen', 'Konservative']","['Konservative', 'CDU', 'die Schwarzen', 'Christlich Demokratische Union']","['militarist', 'warmonger', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'militarist', 'warmonger', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['Befürworter einer aggressiven Politik in den Außenbeziehungen'],[],[],hardli,hardlin,hardlin,hardlin,,,,,,[],negative,0.0,negative,0.2333333333333333
klimaherausforderung,herausforderung,"['herausforderungen', 'herausforderung']",herausforderung,f,"['klimaherausforderungen', 'klimaherausforderung']","['dicke Bretter bohren müssen', 'Problem', 'Schwierigkeit', 'Affront', 'Kampfansage', 'Kriegserklärung', 'harte Nuss', 'offene Gegnerschaft', 'Herausforderung']",[],[],[],,"['ein Faktor, der Schwierigkeiten bei der Erreichung eines positiven Ergebnisses verursacht oder dazu neigt, ein negatives Ergebnis hervorzubringen', 'eine absichtlich beleidigende Handlung oder etwas, das den Eindruck einer absichtlichen Geringschätzung erweckt']",[],[],herausforderung,herausforderung,herausforderung,herausforder,,,,,,[],negative,0.0,negative,0.07777777777777778
klimahoax,hoax,"['hoaxes', 'hoax']",hoax,m,"['klimahoaxes', 'klimahoax']",[],[],[],,,[],[],[],hoax,hoax,hoax,hoax,,,,,,[],positive,0.0,positive,0.0
klimahokuspokus,hokuspokus,['hokuspokus'],hokuspokus,m,['klimahokuspokus'],"['Hexhex', 'Voodoo', 'Zauberei', 'Abrakadabra', 'Hexenwerk', 'Hexerei', 'Magie', 'Simsalabim', 'Zauberkunde', 'Zauberkunst', 'Hokuspokus']","['Bullshit', 'Heckmeck', 'Blödsinn', 'Schmarren', 'Gelaber', 'Kohl', 'Quark', 'Schmonzes', 'Käse', 'Krampf', 'Schmu', 'Quatsch mit Soße', 'Blech', 'Mumpitz', 'Sottise', 'Stuss', 'geistiger Dünnschiss', 'Scheiße', 'Unfug', 'Pipifax', 'Schmarrn', 'Gefasel', 'Kokolores', 'dümmliches Gerede', 'Nonsense', 'Kappes', 'geistiger Durchfall', 'Geschwafel', 'Schwachsinn', 'Schwachfug', 'gequirlte Scheiße', 'Kiki', 'Schmäh', 'Gewäsch', 'Driss', 'Firlefanz', 'Widersinn', 'Humbug', 'Tinnef', 'Bockmist', 'Fez', 'dummes Zeug', 'saudummes Zeug', 'Pillepalle', 'Mist', 'Scheiß', 'Papperlapapp', 'Unsinn', 'Nonsens', 'Quatsch']","['Tiefe', 'Tiefsinn']","['necromancy', 'black art', 'sorcery', 'black magic', 'thaumaturgy', 'magic', 'supernaturalism', 'belief', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,"['die Kunst der Zauberei', 'eine verbale Täuschung, die darauf abzielt, Sie in irgendeiner Weise zu übervorteilen']",[],[],hokuspoku,hokuspoku,hokuspok,hokuspokus,,,,,,[],negative,0.0,negative,0.0
klimahose,hose,"['hose', 'hosen']",hose,f,"['klimahose', 'klimahosen']","['Beinkleid', 'Büx', 'Hose', 'Buxe', 'Hosen']","['Fummel', 'Fetzen', 'Kleid']","['Kleid', 'Fummel', 'Fetzen']","['footwear', 'habiliment', 'article of clothing', 'vesture', 'wear', 'clothing', 'wearable', 'covering', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'footwear', 'habiliment', 'article of clothing', 'vesture', 'wear', 'clothing', 'wearable', 'consumer goods', 'commodity', 'trade good', 'good', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,['Socken und Strümpfe und Strumpfhosen zusammen (die Briten schließen Unterwäsche ein)'],[],[],hos,hose,hos,hos,,,,,,[],negative,0.0,negative,0.0
