original,second_part,noun_forms,lemma,genus,compound_forms,sim_words,wup_sim_words,related_words,hypernyms,definition,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,similar_words
Klimaglaubensbekenntnis,Glaubensbekenntnis,"['Glaubensbekenntnisse', 'Glaubensbekenntnisses', 'Glaubensbekenntnis', 'Glaubensbekenntnissen']",Glaubensbekenntnis,n,"['Klimaglaubensbekenntnisse', 'Klimaglaubensbekenntnisses', 'Klimaglaubensbekenntnis', 'Klimaglaubensbekenntnissen']",[],['populismus'],"['Glaubensbekenntnis', 'Credo', 'Kredo', 'geglaubter Grundsatz']","['Haltung', 'Grundeinstellung', 'Auffassung vom Leben', 'Philosophie', 'Einstellung zu', 'Mentalität']",['ein System von Grundsätzen oder Überzeugungen'],glaubensbekenntni,glaubensbekenntni,glaubensbekenntn,glaubensbekenntnis,,,,,[]
Klimaglaubenslehre,Glaubenslehre,"['Glaubenslehre', 'Glaubenslehren']",Glaubenslehre,f,"['Klimaglaubenslehre', 'Klimaglaubenslehren']",[],[],,,[],glaubenslehr,glaubenslehr,glaubenslehr,glaubenslehr,,,,,[]
Klimagläubigkeit,Gläubigkeit,['Gläubigkeit'],Gläubigkeit,f,['Klimagläubigkeit'],['bedenken'],"['bedenken', 'panik']","['Gläubigkeit', 'Frömmigkeit', 'Gottesfurcht']","['Befürchtung', 'Beklemmung', 'Scheu', 'Muffensausen', 'Manschetten', 'Schiss', 'Sorge', 'Angst', 'Flattermann', 'Fracksausen', 'Angstgefühl', 'Bedrohungsgefühl', 'Bedenken', 'Beklommenheit', 'Bammel', 'Furcht', 'Muffe']",['Frömmigkeit aufgrund von Frömmigkeit'],glaubigkei,gläubigkeit,gläubigkeit,glaubig,,,,,['bedenken']
Klimagnom,Gnom,"['Gnomen', 'Gnom', 'Gnoms', 'Gnome']",Gnom,,"['Klimagnomen', 'Klimagnom', 'Klimagnoms', 'Klimagnome']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Winzling', 'Wicht', 'Zwerg', 'Wichtel', 'Heinzelmännchen', 'Gnom', 'Däumling', 'Wichtelmännchen', 'Wichtelmann', 'Kobold']",,"['(Folklore) Feen, die etwas schelmisch sind', 'ein Fischköder, der beim Schleppangeln verwendet wird']",gnom,gnom,gnom,gnom,,,,,[]
Klimagott,Gott,"['Götter', 'Göttern', 'Gott', 'Gotte', 'Gottes', 'Gotts']",Gott,m,"['Klimagötter', 'Klimagöttern', 'Klimagott', 'Klimagotte', 'Klimagottes', 'Klimagotts']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Weltenlenker', 'Der Ewige', 'Gott', 'Schöpfer', 'lieber Gott', 'Allvater', 'Allmächtiger', 'Herrgott', 'Urschöpfer']",,"['ein materielles Bildnis, das verehrt wird', 'Begriffe, die sich auf den jüdisch-christlichen Gott beziehen', 'das übernatürliche Wesen, das als vollkommener, allmächtiger und allwissender Urheber und Herrscher des Universums angesehen wird; Gegenstand der Anbetung in monotheistischen Religionen']",gott,gott,got,gott,,,,,[]
Klimagunst,Gunst,['Gunst'],Gunst,f,['Klimagunst'],[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Mitleid', 'Gnade', 'Erbarmen', 'Gunst']",,"['etwas, wofür man dankbar sein kann', 'eine Neigung zu freundlichen oder wohltätigen Handlungen', 'Empfinden, treu zu sein', 'ein leichter Wettbewerbsvorteil']",gun,gunst,gunst,gunst,,,,,[]
Klimagöttin,Göttin,"['Göttinnen', 'Göttin']",Göttin,f,"['Klimagöttinnen', 'Klimagöttin']",[],[],,,[],gotti,göttin,göttin,gottin,,,,,[]
Klimahardliner,Hardliner,"['Hardliners', 'Hardliner', 'Hardlinern']",Hardliner,m,"['Klimahardliners', 'Klimahardliner', 'Klimahardlinern']",[],[],"['Hardliner', 'Vertreter eines harten Kurses', 'Falke']","['Konservative', 'CDU', 'die Schwarzen', 'Christlich Demokratische Union']",['Befürworter einer aggressiven Politik in den Außenbeziehungen'],hardli,hardlin,hardlin,hardlin,,,,,[]
Klimaherausforderung,Herausforderung,"['Herausforderung', 'Herausforderungen']",Herausforderung,f,"['Klimaherausforderung', 'Klimaherausforderungen']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['harte Nuss', 'Herausforderung', 'Problem', 'Schwierigkeit', 'dicke Bretter bohren müssen']",,"['ein Faktor, der Schwierigkeiten bei der Erreichung eines positiven Ergebnisses verursacht oder dazu neigt, ein negatives Ergebnis hervorzubringen', 'eine absichtlich beleidigende Handlung oder etwas, das den Eindruck einer absichtlichen Geringschätzung erweckt']",herausforderung,herausforderung,herausforderung,herausforder,,,,,[]
Klimahoax,Hoax,"['Hoaxes', 'Hoax']",Hoax,m,"['Klimahoaxes', 'Klimahoax']",[],[],,,[],hoax,hoax,hoax,hoax,,,,,[]
Klimahokuspokus,Hokuspokus,['Hokuspokus'],Hokuspokus,m,['Klimahokuspokus'],[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'ikone', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Zauberkunst', 'Zauberkunde', 'Voodoo', 'Hexerei', 'Magie', 'Hexenwerk', 'Hokuspokus', 'Zauberei']",,"['die Kunst der Zauberei', 'eine verbale Täuschung, die darauf abzielt, Sie in irgendeiner Weise zu übervorteilen']",hokuspoku,hokuspoku,hokuspok,hokuspokus,,,,,[]
Klimahose,Hose,"['Hose', 'Hosen']",Hose,f,"['Klimahose', 'Klimahosen']",[],[],"['Hosen', 'Büx', 'Buxe', 'Beinkleid', 'Hose']","['Kleid', 'Fummel', 'Fetzen']",['Socken und Strümpfe und Strumpfhosen zusammen (die Briten schließen Unterwäsche ein)'],hos,hose,hos,hos,,,,,[]
Klimahybris,Hybris,['Hybris'],Hybris,f,['Klimahybris'],[],[],"['Hochmut', 'Anmaßung', 'Selbstüberhöhung', 'Vermessenheit', 'Hybris']","['Idealisierung', 'Hochstilisierung', 'Überhöhung', 'Verklärung']",['überheblicher Stolz oder Anmaßung'],hybri,hybri,hybr,hybris,,,,,[]
Klimahype,Hype,"['Hype', 'Hypes']",Hype,m,"['Klimahype', 'Klimahypes']",['hysterie'],['hysterie'],"['Hype', 'Masseneuphorie', 'Ballyhoo', 'Massenhysterie', 'Reklamerummel', 'Hysterie', '(künstliche) Aufregung', '(inszenierte) Begeisterung', 'Medienrummel', 'Medienhype']","['Rücklage', 'Rückstellung', 'Rückhalt']","['übermäßige oder unkontrollierbare Angst', 'ein verwirrtes oder nervöses und aufgeregtes Gemüt']",hyp,hype,hyp,hyp,,,,,['hysterie']
Klimahypothese,Hypothese,"['Hypothesen', 'Hypothese']",Hypothese,f,"['Klimahypothesen', 'Klimahypothese']",[],[],"['Vermutung', 'Hypothese', 'Annahme', 'These', 'Behauptung', 'Stochern im Nebel', 'Mutmaßung', 'Spekulation']","['Unterstellung', 'Ansicht', 'These', 'Behauptung']","['eine unbewiesene Behauptung, die als Prämisse in einem Argument vorgebracht wird', 'ein Vorschlag zur Erklärung bestimmter Tatsachen oder Beobachtungen', 'eine Annahme, die als selbstverständlich vorausgesetzt wird']",hypoth,hypothes,hypothes,hypothes,,,,,[]
Klimahysterie,Hysterie,"['Hysterien', 'Hysterie']",Hysterie,f,"['Klimahysterien', 'Klimahysterie']",['hype'],['hype'],"['Hype', 'Masseneuphorie', 'Ballyhoo', 'Massenhysterie', 'Reklamerummel', 'Hysterie', '(künstliche) Aufregung', '(inszenierte) Begeisterung', 'Medienrummel', 'Medienhype']","['Rücklage', 'Rückstellung', 'Rückhalt']","['übermäßige oder unkontrollierbare Angst', 'ein verwirrtes oder nervöses und aufgeregtes Gemüt', 'ein Anfall von Hysterie']",hysterie,hysteri,hystery,hysteri,,,,,['hype']
Klimahysteriker,Hysteriker,"['Hysteriker', 'Hysterikers', 'Hysterikern']",Hysteriker,m,"['Klimahysteriker', 'Klimahysterikers', 'Klimahysterikern']",[],[],,,[],hysterik,hysterik,hysterik,hyster,,,,,[]
Klimahölle,Hölle,"['Höllen', 'Hölle']",Hölle,f,"['Klimahöllen', 'Klimahölle']",[],[],"['Abgrund', 'Tiefe', 'Schlund', 'Hölle']","['Areal', 'Gebiet', 'Raum', 'Gegend', 'Territorium']","['ein tiefer Ton, der laut und voluminös ist', 'ein schweres Leiden', 'die kriminelle Klasse']",holl,hölle,hölle,holl,,,,,[]
Klimahüpfer,Hüpfer,"['Hüpfer', 'Hüpfers', 'Hüpfern']",Hüpfer,m,"['Klimahüpfer', 'Klimahüpfers', 'Klimahüpfern']",[],[],"['Hüpfer', 'kleiner Sprung', 'Hopser']","['Schüler', 'Zögling', 'Schuljunge', 'Schulbub', 'Schulkind', 'geht zur Schule', 'Schulmädchen', 'Schülerin']",[None],hupf,hüpfer,hüpfer,hupf,,,,,[]
Klimaideologie,Ideologie,"['Ideologie', 'Ideologien']",Ideologie,f,"['Klimaideologie', 'Klimaideologien']",[],[],"['Grundhaltung', 'Grundeinstellung', 'Gesinnung', 'Denkweise', 'Grundüberzeugung', 'Weltsicht', 'Auffassung vom Leben', 'Denkungsart', 'Geisteshaltung', 'welches Sinnes', 'Sinnesart', 'Weltauffassung', 'geistiger Standort', 'Weltverständnis', 'Philosophie', 'Ideologie', 'Weltbild', 'Sicht der Dinge', 'Weltanschauung', 'wes Geistes Kind', 'wes Sinnes', 'Wertauffassung', 'welchen Sinnes', 'Denke', 'ideologischer Standort']","['Idee', 'Auffassung', 'Anschauung', 'Vorstellung', 'Begriff', 'Ausdruck', 'Denkweise']","['eine umfassende Sicht auf die Welt und das menschliche Leben', 'imaginäre oder visionäre Theorienbildung']",ideologie,ideologi,ideolog,ideologi,,,,,[]
Klimaikone,Ikone,"['Ikonen', 'Ikone']",Ikone,f,"['Klimaikonen', 'Klimaikone']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'insider', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Mythos', 'Säulenheiliger', 'Galionsfigur', 'Leitbild', 'Musterschüler', 'leuchtendes Vorbild', 'leuchtendes Beispiel', 'lebende Legende', 'Vorbild', 'Idol', 'Ikone']",,"['eine ideale Instanz; eine perfekte Verkörperung eines Konzepts', 'ein konventionelles religiöses Gemälde in Öl auf einer kleinen Holztafel; wird in der Ostkirche verehrt', 'eine visuelle Darstellung (eines Objekts, einer Szene, einer Person oder einer Abstraktion) auf einer Oberfläche']",iko,ikon,ikon,ikon,,,,,[]
Klimainsider,Insider,"['Insiders', 'Insider', 'Insidern']",Insider,m,"['Klimainsiders', 'Klimainsider', 'Klimainsidern']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'intelligenz', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Kenner', 'Geheimnisträger', 'Insider', 'Eingeweihter', 'Esoteriker']",,"['ein leitender Angestellter eines Unternehmens oder eine andere Person, die Zugang zu privaten Informationen über die Geschäftstätigkeit des Unternehmens hat', None]",insid,insid,insid,insid,,,,,[]
Klimaintelligenz,Intelligenz,"['Intelligenzen', 'Intelligenz']",Intelligenz,f,"['Klimaintelligenzen', 'Klimaintelligenz']","['vernunft', 'verstand']","['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'jünger', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Scharfsinnigkeit', 'Scharfsinn', 'Klugheit', 'Geist', 'Gehirnschmalz', 'Denkfähigkeit', 'Grütze', 'Köpfchen', 'Grips', 'Geisteskraft', 'Vernunft', 'Intelligenz', 'Verstand', 'Denkvermögen']",,"['Wissen und intellektuelle Fähigkeiten', 'Fähigkeit, abstrakt und vernünftig zu denken und daraus zweckvolles Handeln abzuleiten', None]",intelligenz,intelligenz,intelligenz,intelligenz,,,,,"['vernunft', 'verstand']"
Klimairrsinn,Irrsinn,"['Irrsinns', 'Irrsinnes', 'Irrsinn']",Irrsinn,m,"['Klimairrsinns', 'Klimairrsinnes', 'Klimairrsinn']","['schwachsinn', 'wahnsinn']","['schwachsinn', 'verrücktheit', 'wahnsinn']","['Wahnsinn', 'Schwachsinn', 'Geistesschwäche', 'Irrsinn', 'Idiotie']","['Unvernunft', 'Paralogie', 'Vernunftwidrigkeit', 'Widervernünftigkeit']","['törichtes oder sinnloses Verhalten', 'die Eigenschaft, unbesonnen und töricht zu sein', 'Gleichgültigkeit gegenüber Freude oder Schmerz']",irrsinn,irrsinn,irrsin,irrsinn,,,,,"['schwachsinn', 'wahnsinn']"
Klimajünger,Jünger,"['Jünger', 'Jüngers', 'Jüngern']",Jünger,m,"['Klimajünger', 'Klimajüngers', 'Klimajüngern']",[],"['apostel', 'argument', 'asyl', 'bankrott', 'bedenken', 'beeinflussung', 'besorgnis', 'betrüger', 'bibel', 'bigotterie', 'bremser', 'chaos', 'dampfer', 'depression', 'dogma', 'dramatik', 'dürre', 'elite', 'erkrankung', 'ernsthaftigkeit', 'establishment', 'fachkraft', 'fanatiker', 'fieber', 'fluch', 'freundin', 'front', 'gefahr', 'gerechtigkeit', 'glaube', 'gnom', 'gott', 'gunst', 'herausforderung', 'hokuspokus', 'ikone', 'insider', 'intelligenz', 'kampf', 'kanzler', 'kanzlerin', 'kataklysmus', 'klage', 'klempner', 'kleriker', 'kommissar', 'kompetenz', 'konfusion', 'kontrolle', 'krieger', 'kritik', 'kritiker', 'kult', 'königin', 'laie', 'lüge', 'manipulation', 'mantra', 'misere', 'monster', 'nationalismus', 'nonsens', 'notfall', 'notlage', 'orthodoxie', 'panikmache', 'papst', 'pflicht', 'planwirtschaft', 'polemik', 'prediger', 'presse', 'professor', 'propaganda', 'propagandist', 'pseudowissenschaft', 'päckchen', 'realismus', 'scharade', 'schmerz', 'schuld', 'schwindel', 'schwindler', 'schändung', 'sekte', 'skeptiker', 'spinner', 'stopp', 'streit', 'streiter', 'teppich', 'teufel', 'theater', 'tod', 'trash', 'unfähigkeit', 'ungerechtigkeit', 'verleugnung', 'vernunft', 'verstand', 'verteidigung', 'verweigerung', 'verwirrung', 'virus', 'wahn', 'wendehals', 'wirklichkeit', 'zar', 'zerstörer', 'zerstörung', 'zipfel', 'zwang']","['Anhänger', 'Getreuer', 'Gefolgsleute', 'Gefolgsmann', 'Adept', 'Jünger', 'Eleve', 'Schüler', 'Schülerin']",,"['ein großes Transportmittel, das von einem Lastwagen oder einer Zugmaschine gezogen werden kann', '(Neues Testament) einer der ursprünglichen 12 Jünger, die von Christus ausgewählt wurden, um sein Evangelium zu verkünden']",jung,jünger,jünger,jung,,,,,[]
Klimakabarett,Kabarett,"['Kabaretten', 'Kabaretts', 'Kabarett', 'Kabarette']",Kabarett,n,"['Klimakabaretten', 'Klimakabaretts', 'Klimakabarett', 'Klimakabarette']",[],"['show', 'zirkus']","['Varieté', 'Kabarett', 'Varieteetheater', 'Varietee', 'Varietétheater']","['vorzeigen', 'vorweisen']",['eine Reihe von Auftritten in einem Nachtclub'],kabarett,kabarett,kabaret,kabarett,,,,,[]
Klimakaiserin,Kaiserin,"['Kaiserin', 'Kaiserinnen']",Kaiserin,f,"['Klimakaiserin', 'Klimakaiserinnen']",[],[],,,[],kaiseri,kaiserin,kaiserin,kaiserin,,,,,[]
Klimakamarilla,Kamarilla,"['Kamarilla', 'Kamarillen']",Kamarilla,f,"['Klimakamarilla', 'Klimakamarillen']",[],[],,,[],kamarilla,kamarilla,kamarill,kamarilla,,,,,[]
